label,image_path,trial,f0,f1,f2
0,synthetic,0,-0.9090833920991177,-0.41909194362700375,0.8012621159021063
1,synthetic,1,1.0021752434673967,0.5353475897976114,0.2115346193222506
0,synthetic,2,-0.9555250765808737,-0.4062585429934143,0.7067958418322866
1,synthetic,3,1.0187007476400856,0.546316781612021,0.32156823740320095
0,synthetic,4,-0.9690796736871846,-0.44459778334997724,0.21666719655731315
1,synthetic,5,1.022850600957219,0.5528512110777086,0.38382248849018874
0,synthetic,6,-0.9989137460412412,-0.4329650514452889,0.019121516791236415
1,synthetic,7,1.0029054983284318,0.5842883426968492,0.3091440267392842
0,synthetic,8,-0.9438399607228046,-0.4076461262936879,0.7955852201400927
1,synthetic,9,1.0260252715990867,0.5789252726450411,0.2351918105595039
0,synthetic,10,-0.9685093538021896,-0.42162546470728046,0.04551062944448914
1,synthetic,11,1.0140838291696221,0.5788711054970694,0.6425573411967711
0,synthetic,12,-0.9927816487334631,-0.4655614327029133,0.7583986920908307
1,synthetic,13,1.0022754997429346,0.5098611273611506,0.9320164757204392
0,synthetic,14,-0.9411019530248137,-0.44627252548269,0.060500575360367126
1,synthetic,15,1.0521823234440917,0.5132481850427943,0.9976718812887433
0,synthetic,16,-0.9450681111389923,-0.45397936735623523,0.11862368456930306
1,synthetic,17,1.098369200748959,0.5138294796008213,0.41669546018398373
0,synthetic,18,-0.9079385520297116,-0.4208752629574119,0.9554283925767059
1,synthetic,19,1.0152062434180735,0.5169657646065151,0.21338999370626133
0,synthetic,20,-0.9716772861393552,-0.49179261859201207,0.7924959634926737
1,synthetic,21,1.0338978649830681,0.5683809945183695,0.5419107097863809
0,synthetic,22,-0.9835872232965909,-0.48857937718920696,0.9274209783443428
1,synthetic,23,1.0374985667563001,0.5381398513060486,0.3017363348456916
0,synthetic,24,-0.9895897838770361,-0.43966091365081683,0.5871958041886193
1,synthetic,25,1.007000759115373,0.5743333936972584,0.9321136393897358
0,synthetic,26,-0.9990140067842632,-0.47476186225461847,0.35905772563857175
1,synthetic,27,1.038777594038957,0.5915314693909979,0.24245995153699407
0,synthetic,28,-0.9846955672121486,-0.48198325037475476,0.45479842252278335
1,synthetic,29,1.0764907230510685,0.5369474279881287,0.6691497087310275
0,synthetic,30,-0.9883917171566764,-0.49634543037959183,0.7702385970833808
1,synthetic,31,1.0262250194964755,0.5171173000621362,0.922708201791185
0,synthetic,32,-0.9076074299010084,-0.487533152463267,0.06884152345488914
1,synthetic,33,1.083458460512115,0.5956254263314409,0.24247629352541866
0,synthetic,34,-0.936642126207555,-0.4387830320835756,0.09361845890148646
1,synthetic,35,1.0540164303310113,0.5960620244753961,0.93967681667596
0,synthetic,36,-0.9135941112564767,-0.4293523793814668,0.24011713969573134
1,synthetic,37,1.0791217667422557,0.5358959481183767,0.4168507548528847
0,synthetic,38,-0.9554590024049464,-0.4273523586347836,0.7532278190310192
1,synthetic,39,1.085961602618937,0.5811901009282507,0.4900351754697274
